Date,Price,Open,High,Low,Vol.,Change %
2/22/2024,25955,"26,091.00","26,182.00","25,955.00",24.65M,-0.87%
2/21/2024,26182,"26,455.00","26,500.00","26,091.00",34.74M,-1.37%
2/20/2024,26545,"26,545.00","26,682.00","26,409.00",23.53M,0.00%
2/19/2024,26545,"26,045.00","26,727.00","25,864.00",46.50M,2.10%
2/16/2024,26000,"26,136.00","26,182.00","26,000.00",18.39M,-0.35%
2/15/2024,26091,"25,727.00","26,273.00","25,682.00",40.68M,1.95%
2/7/2024,25591,"25,500.00","25,727.00","25,500.00",15.19M,0.36%
2/6/2024,25500,"25,591.00","25,682.00","25,455.00",16.13M,0.18%
2/5/2024,25455,"25,364.00","25,727.00","25,364.00",17.85M,0.36%
2/2/2024,25364,"25,182.00","25,545.00","25,182.00",15.58M,0.18%
2/1/2024,25318,"25,227.00","25,545.00","25,182.00",11.70M,0.36%
1/31/2024,25227,"25,409.00","25,545.00","25,227.00",26.90M,-0.90%
1/30/2024,25455,"25,455.00","25,545.00","25,318.00",19.28M,0.00%
1/29/2024,25455,"25,773.00","25,818.00","25,455.00",23.73M,-1.23%
1/26/2024,25773,"25,818.00","25,909.00","25,682.00",15.81M,0.35%
1/25/2024,25682,"25,682.00","25,818.00","25,455.00",16.75M,0.00%
1/24/2024,25682,"25,727.00","25,909.00","25,682.00",17.75M,-0.35%
1/23/2024,25773,"25,864.00","25,909.00","25,682.00",23.85M,0.18%
1/22/2024,25727,"25,455.00","26,045.00","25,318.00",72.67M,1.80%
1/19/2024,25273,"25,227.00","25,364.00","25,091.00",16.35M,0.55%
1/18/2024,25136,"25,182.00","25,318.00","25,091.00",13.90M,0.00%
1/17/2024,25136,"25,318.00","25,409.00","25,136.00",25.75M,-0.54%
1/16/2024,25273,"24,636.00","25,273.00","24,591.00",21.74M,2.59%
1/15/2024,24636,"24,727.00","24,955.00","24,636.00",13.75M,-0.19%
1/12/2024,24682,"24,864.00","24,955.00","24,591.00",31.49M,-1.27%
1/11/2024,25000,"24,955.00","25,136.00","24,909.00",16.79M,0.55%
1/10/2024,24864,"25,182.00","25,227.00","24,773.00",35.91M,-1.26%
1/9/2024,25182,"25,364.00","25,409.00","25,000.00",31.49M,-0.54%
1/8/2024,25318,"25,409.00","25,682.00","25,318.00",34.37M,0.18%
1/5/2024,25273,"25,227.00","25,364.00","25,045.00",19.07M,0.18%
1/4/2024,25227,"25,273.00","25,545.00","25,182.00",42.39M,-0.18%
1/3/2024,25273,"24,909.00","25,273.00","24,909.00",20.43M,1.27%
1/2/2024,24955,"25,545.00","25,591.00","24,955.00",24.41M,-1.79%
12/29/2023,25409,"25,409.00","25,545.00","25,273.00",22.51M,0.00%
12/28/2023,25409,"25,227.00","25,636.00","25,136.00",34.44M,0.72%
12/27/2023,25227,"25,318.00","25,455.00","25,227.00",21.84M,-0.18%
12/26/2023,25273,"24,909.00","25,364.00","24,909.00",37.12M,1.27%
12/25/2023,24955,"24,682.00","25,091.00","24,682.00",22.45M,1.48%
12/22/2023,24591,"24,727.00","24,864.00","24,591.00",19.17M,-0.55%
12/21/2023,24727,"24,636.00","24,818.00","24,500.00",15.74M,0.00%
12/20/2023,24727,"24,727.00","24,864.00","24,636.00",19.43M,0.00%
12/19/2023,24727,"24,182.00","24,727.00","24,136.00",22.55M,2.25%
12/18/2023,24182,"24,455.00","24,545.00","24,182.00",16.36M,-0.75%
12/15/2023,24364,"24,636.00","24,727.00","24,318.00",38.16M,-0.92%
12/14/2023,24591,"25,045.00","25,045.00","24,591.00",34.96M,-1.10%
12/13/2023,24864,"25,545.00","25,636.00","24,818.00",36.68M,-2.14%
12/12/2023,25409,"25,000.00","25,636.00","25,000.00",34.85M,1.64%
12/11/2023,25000,"25,182.00","25,273.00","24,818.00",19.63M,-0.72%
12/8/2023,25182,"25,273.00","25,682.00","25,000.00",58.06M,0.36%
12/7/2023,25091,"25,136.00","25,364.00","24,500.00",54.37M,0.00%
12/6/2023,25091,"24,773.00","25,091.00","24,727.00",20.51M,1.28%
12/5/2023,24773,"25,000.00","25,045.00","24,682.00",24.76M,-0.91%
12/4/2023,25000,"24,727.00","25,227.00","24,591.00",46.58M,2.23%
12/1/2023,24455,"24,364.00","24,636.00","24,045.00",16.94M,1.32%
11/30/2023,24136,"24,636.00","24,727.00","24,136.00",23.33M,-1.67%
11/29/2023,24545,"24,273.00","24,636.00","24,227.00",24.75M,1.12%
11/28/2023,24273,"24,000.00","24,273.00","23,682.00",20.75M,1.52%
11/27/2023,23909,"24,091.00","24,318.00","23,818.00",18.40M,-0.38%
11/24/2023,24000,"23,636.00","24,000.00","23,227.00",28.85M,2.13%
11/23/2023,23500,"24,818.00","24,864.00","23,500.00",23.85M,-4.96%
