Date,Price,Open,High,Low,Vol.,Change %
2/19/2024,24450,"24,700.00","25,000.00","24,150.00",11.08M,-0.61%
2/16/2024,24600,"24,750.00","24,900.00","24,550.00",5.65M,-0.61%
2/15/2024,24750,"24,700.00","25,100.00","24,500.00",8.19M,1.64%
2/7/2024,24350,"24,400.00","24,500.00","24,250.00",4.39M,0.41%
2/6/2024,24250,"24,400.00","24,600.00","24,250.00",6.22M,-0.21%
2/5/2024,24300,"24,350.00","24,700.00","24,250.00",10.44M,0.21%
2/2/2024,24250,"23,800.00","24,500.00","23,800.00",7.90M,1.04%
2/1/2024,24000,"24,150.00","24,350.00","23,900.00",8.92M,-0.83%
1/31/2024,24200,"24,850.00","24,850.00","24,200.00",19.54M,-3.20%
1/30/2024,25000,"24,700.00","25,050.00","24,500.00",6.77M,1.01%
1/29/2024,24750,"25,400.00","25,500.00","24,750.00",9.14M,-2.56%
1/26/2024,25400,"25,300.00","25,450.00","25,100.00",4.77M,0.79%
1/25/2024,25200,"24,850.00","25,450.00","24,600.00",6.99M,1.41%
1/24/2024,24850,"25,050.00","25,250.00","24,850.00",5.56M,-1.00%
1/23/2024,25100,"25,300.00","25,300.00","24,900.00",5.24M,-0.40%
1/22/2024,25200,"25,150.00","25,800.00","25,000.00",13.04M,1.00%
1/19/2024,24950,"25,200.00","25,350.00","24,800.00",6.87M,-0.99%
1/18/2024,25200,"24,950.00","25,500.00","24,700.00",11.29M,1.41%
1/17/2024,24850,"25,100.00","25,200.00","24,600.00",12.45M,-0.20%
1/16/2024,24900,"23,200.00","24,900.00","23,200.00",20.22M,6.87%
1/15/2024,23300,"23,600.00","23,650.00","23,000.00",3.85M,-0.21%
1/12/2024,23350,"23,150.00","23,800.00","23,100.00",7.29M,-0.64%
1/11/2024,23500,"23,250.00","23,500.00","23,250.00",5.29M,1.73%
1/10/2024,23100,"23,450.00","23,600.00","22,950.00",11.13M,-2.12%
1/9/2024,23600,"23,950.00","23,950.00","23,250.00",12.46M,-1.05%
1/8/2024,23850,"24,150.00","24,400.00","23,850.00",8.02M,-1.04%
1/5/2024,24100,"23,900.00","24,200.00","23,800.00",7.60M,0.00%
1/4/2024,24100,"24,200.00","24,450.00","23,800.00",9.05M,-0.41%
1/3/2024,24200,"23,750.00","24,200.00","23,600.00",6.13M,1.89%
1/2/2024,23750,"24,700.00","24,800.00","23,750.00",10.52M,-3.65%
12/29/2023,24650,"24,600.00","24,650.00","24,450.00",5.50M,0.41%
12/28/2023,24550,"24,100.00","24,750.00","24,050.00",9.25M,1.87%
12/27/2023,24100,"24,450.00","24,550.00","24,100.00",6.71M,-0.41%
12/26/2023,24200,"24,200.00","24,400.00","23,900.00",9.48M,0.41%
12/25/2023,24100,"24,350.00","25,000.00","24,100.00",11.26M,-0.82%
12/22/2023,24300,"24,450.00","24,750.00","24,000.00",7.40M,0.00%
12/21/2023,24300,"23,800.00","24,650.00","23,700.00",12.57M,1.25%
12/20/2023,24000,"23,900.00","24,100.00","23,750.00",6.52M,0.00%
12/19/2023,24000,"22,800.00","24,000.00","22,750.00",11.20M,5.49%
12/18/2023,22750,"23,300.00","23,400.00","22,750.00",5.22M,-2.15%
12/15/2023,23250,"22,750.00","23,350.00","22,650.00",7.26M,1.97%
12/14/2023,22800,"23,100.00","23,150.00","22,600.00",7.71M,0.44%
12/13/2023,22700,"23,500.00","23,650.00","22,700.00",10.49M,-2.78%
12/12/2023,23350,"23,450.00","23,800.00","23,300.00",6.62M,0.43%
12/11/2023,23250,"23,300.00","23,500.00","22,850.00",7.12M,-0.21%
12/8/2023,23300,"23,500.00","24,400.00","23,200.00",13.08M,0.00%
12/7/2023,23300,"23,900.00","23,950.00","22,600.00",15.72M,-1.69%
12/6/2023,23700,"23,500.00","23,800.00","23,150.00",12.30M,0.64%
12/5/2023,23550,"23,950.00","23,950.00","23,350.00",10.47M,-1.26%
12/4/2023,23850,"23,350.00","24,200.00","22,950.00",14.43M,4.15%
12/1/2023,22900,"23,250.00","23,250.00","22,200.00",15.84M,-0.43%
11/30/2023,23000,"22,950.00","23,450.00","22,700.00",12.68M,0.44%
11/29/2023,22900,"22,800.00","23,400.00","22,600.00",16.68M,0.44%
11/28/2023,22800,"21,850.00","22,800.00","21,650.00",17.32M,4.59%
11/27/2023,21800,"22,100.00","22,450.00","21,750.00",8.93M,-1.36%
11/24/2023,22100,"21,350.00","22,100.00","20,800.00",17.66M,4.49%
11/23/2023,21150,"22,900.00","23,000.00","21,150.00",17.64M,-6.83%
11/22/2023,22700,"22,200.00","22,700.00","21,950.00",11.80M,2.25%
11/21/2023,22200,"22,600.00","23,250.00","22,200.00",17.53M,0.00%
11/20/2023,22200,"21,350.00","22,300.00","21,350.00",13.30M,1.60%
11/17/2023,21850,"21,700.00","22,250.00","21,350.00",21.62M,1.16%
11/16/2023,21600,"21,300.00","21,600.00","21,100.00",9.15M,0.70%
11/15/2023,21450,"22,550.00","22,550.00","21,300.00",17.05M,-0.69%
11/14/2023,21600,"21,900.00","21,900.00","21,100.00",13.70M,0.47%
11/13/2023,21500,"20,600.00","21,750.00","20,500.00",19.79M,4.88%
11/10/2023,20500,"20,500.00","21,450.00","20,450.00",15.28M,-1.20%
11/9/2023,20750,"21,000.00","21,500.00","20,700.00",14.86M,0.48%
11/8/2023,20650,"19,300.00","20,650.00","19,250.00",15.43M,6.99%
11/7/2023,19300,"19,350.00","19,700.00","19,050.00",7.86M,-1.03%
11/6/2023,19500,"19,250.00","19,500.00","19,150.00",7.83M,1.30%
11/3/2023,19250,"19,100.00","19,450.00","18,750.00",9.84M,0.79%
11/2/2023,19100,"18,150.00","19,150.00","18,100.00",10.48M,6.70%
11/1/2023,17900,"17,600.00","17,900.00","17,250.00",5.63M,2.29%
10/31/2023,17500,"18,000.00","18,250.00","17,400.00",6.81M,-2.78%
10/30/2023,18000,"18,000.00","18,700.00","17,950.00",7.30M,0.00%
10/27/2023,18000,"17,650.00","18,050.00","17,150.00",4.83M,4.05%
10/26/2023,17300,"18,100.00","18,600.00","17,300.00",10.71M,-6.99%
10/25/2023,18600,"18,700.00","19,300.00","18,450.00",5.02M,-0.27%
10/24/2023,18650,"18,550.00","18,650.00","18,150.00",4.32M,0.81%
10/23/2023,18500,"18,500.00","18,700.00","18,050.00",5.46M,0.54%
10/20/2023,18400,"17,800.00","18,500.00","17,500.00",6.10M,3.08%
10/19/2023,17850,"17,800.00","18,250.00","17,250.00",5.34M,-1.11%
10/18/2023,18050,"19,000.00","19,000.00","17,300.00",12.44M,-2.96%
10/17/2023,18600,"20,100.00","20,250.00","18,600.00",7.38M,-6.53%
10/16/2023,19900,"20,600.00","20,800.00","19,900.00",8.19M,-3.16%
10/13/2023,20550,"19,950.00","20,550.00","19,800.00",7.25M,1.23%
10/12/2023,20300,"20,600.00","20,850.00","20,100.00",7.10M,-0.98%
10/11/2023,20500,"19,950.00","20,500.00","19,850.00",7.16M,2.76%
