Date,Open,High,Low,Close,Adj Close,Volume
2019-03-01,40478.953125,41275.257813,40346.234375,41275.257813,41275.257813,1225908
2019-03-04,41275.257813,41806.132813,41275.257813,41673.414063,41673.414063,2030592
2019-03-05,41673.414063,42337.003906,41474.335938,41806.132813,41806.132813,2376092
2019-03-06,41872.488281,42005.207031,41076.183594,41607.054688,41607.054688,2107101
2019-03-07,41607.054688,42337.003906,41540.695313,41872.488281,41872.488281,3091640
2019-03-08,41407.976563,41806.132813,41208.902344,41673.414063,41673.414063,1502992
2019-03-11,41407.976563,41607.054688,41076.183594,41540.695313,41540.695313,2149189
2019-03-12,41806.132813,43000.593750,41607.054688,43000.593750,43000.593750,3397250
2019-03-13,43133.308594,43266.027344,42801.515625,43266.027344,43266.027344,2682908
2019-03-14,43266.027344,44460.488281,42801.515625,44460.488281,44460.488281,3828647
2019-03-15,44593.207031,44593.207031,43796.898438,43796.898438,43796.898438,3942286
2019-03-18,44128.695313,44991.359375,44128.695313,44858.640625,44858.640625,3461025
2019-03-19,44858.640625,44858.640625,44261.410156,44327.769531,44327.769531,2683345
2019-03-20,44261.410156,44593.207031,43929.617188,44261.410156,44261.410156,4082901
2019-03-21,44394.128906,45057.718750,44128.695313,44195.054688,44195.054688,2468046
2019-03-22,44327.769531,44460.488281,44128.695313,44394.128906,44394.128906,4247324
2019-03-25,43133.308594,43796.898438,42469.718750,43465.105469,43465.105469,2731552
2019-03-26,43863.257813,44128.695313,43465.105469,43465.105469,43465.105469,1895403
2019-03-27,43730.539063,43730.539063,42934.234375,43465.105469,43465.105469,1180216
2019-03-28,43597.824219,44261.410156,43398.746094,44261.410156,44261.410156,1118868
2019-03-29,44460.488281,44792.285156,44327.769531,44659.566406,44659.566406,1021790
2019-04-01,45057.718750,45057.718750,44858.640625,44991.359375,44991.359375,1603490
2019-04-02,45124.078125,45455.871094,44792.285156,44792.285156,44792.285156,839328
2019-04-03,44792.285156,44858.640625,44128.695313,44593.207031,44593.207031,2027834
2019-04-04,44593.207031,45057.718750,44327.769531,44925.000000,44925.000000,1430039
2019-04-05,44991.359375,45256.796875,44991.359375,45190.437500,45190.437500,719616
2019-04-08,45190.437500,46252.179688,45057.718750,46252.179688,46252.179688,1720792
2019-04-09,46252.179688,46451.257813,46053.101563,46318.539063,46318.539063,1279676
2019-04-10,46119.460938,46119.460938,45654.949219,45721.308594,45721.308594,1083546
2019-04-11,45787.667969,45787.667969,44925.000000,45455.871094,45455.871094,610451
2019-04-12,45522.230469,45522.230469,44858.640625,45124.078125,45124.078125,671197
2019-04-15,null,null,null,null,null,null
2019-04-16,45124.078125,45124.078125,44062.335938,44725.925781,44725.925781,609773
2019-04-17,45057.718750,45256.796875,44460.488281,45124.078125,45124.078125,778658
2019-04-18,44792.285156,45588.589844,44792.285156,45057.718750,45057.718750,903901
2019-04-19,45057.718750,45455.871094,45057.718750,45124.078125,45124.078125,350441
2019-04-22,44526.847656,45190.437500,44460.488281,45057.718750,45057.718750,471992
2019-04-23,45124.078125,45124.078125,43863.257813,44792.285156,44792.285156,1967511
2019-04-24,44792.285156,45920.386719,44792.285156,45455.871094,45455.871094,1031571
2019-04-25,45455.871094,45455.871094,44925.000000,44925.000000,44925.000000,525475
2019-04-26,44991.359375,45323.156250,44792.285156,45057.718750,45057.718750,417817
2019-04-29,null,null,null,null,null,null
2019-04-30,null,null,null,null,null,null
2019-05-01,null,null,null,null,null,null
2019-05-02,44858.640625,45057.718750,44062.335938,44394.128906,44394.128906,947015
2019-05-03,44327.769531,44593.207031,43863.257813,44261.410156,44261.410156,1294143
2019-05-06,43929.617188,44327.769531,43730.539063,43995.976563,43995.976563,549375
2019-05-07,43995.976563,44460.488281,43000.593750,43531.464844,43531.464844,1836210
2019-05-08,42867.875000,43531.464844,42867.875000,43199.667969,43199.667969,1531247
2019-05-09,43398.746094,43796.898438,43199.667969,43465.105469,43465.105469,1520789
2019-05-10,43465.105469,43863.257813,43266.027344,43531.464844,43531.464844,835411
2019-05-13,43664.179688,43863.257813,43531.464844,43730.539063,43730.539063,716435
2019-05-14,43398.746094,44195.054688,43398.746094,44195.054688,44195.054688,1302732
2019-05-15,44261.410156,44725.925781,44128.695313,44327.769531,44327.769531,1106451
2019-05-16,44327.769531,44725.925781,44327.769531,44327.769531,44327.769531,847224
2019-05-17,44327.769531,44460.488281,44195.054688,44327.769531,44327.769531,788076
2019-05-20,44327.769531,45190.437500,44261.410156,44991.359375,44991.359375,914812
2019-05-21,45057.718750,45389.515625,44925.000000,44925.000000,44925.000000,1089784
2019-05-22,44792.285156,45522.230469,44460.488281,44593.207031,44593.207031,998659
2019-05-23,44725.925781,45124.078125,44526.847656,44858.640625,44858.640625,711945
2019-05-24,44659.566406,45124.078125,43863.257813,44128.695313,44128.695313,2260448
2019-05-27,44460.488281,44991.359375,44128.695313,44725.925781,44725.925781,574632
2019-05-28,44460.488281,45522.230469,44327.769531,44725.925781,44725.925781,2008320
2019-05-29,44858.640625,45190.437500,44593.207031,44792.285156,44792.285156,924531
2019-05-30,44792.285156,45190.437500,44659.566406,44925.000000,44925.000000,934025
2019-05-31,44792.285156,45124.078125,44327.769531,44593.207031,44593.207031,1419687
2019-06-03,44128.695313,44593.207031,42469.718750,44128.695313,44128.695313,1007641
2019-06-04,43796.898438,44792.285156,43730.539063,44593.207031,44593.207031,810410
2019-06-05,44593.207031,44792.285156,44261.410156,44261.410156,44261.410156,495969
2019-06-06,44261.410156,44261.410156,43133.308594,43730.539063,43730.539063,1562607
