Date;Price;Open;High;Low;Vol.;Change %
12/25/2023;24.100;24.350;25.000;24.100;11.26M;-0,82%
12/22/2023;24.300;24.450;24.750;24.000;7.40M;0,00%
12/21/2023;24.300;23.800;24.650;23.700;12.57M;1,25%
12/20/2023;24.000;23.900;24.100;23.750;6.52M;0,00%
12/19/2023;24.000;22.800;24.000;22.750;11.20M;5,49%
12/18/2023;22.750;23.300;23.400;22.750;5.22M;-2,15%
12/15/2023;23.250;22.750;23.350;22.650;7.26M;1,97%
12/14/2023;22.800;23.100;23.150;22.600;7.71M;0,44%
12/13/2023;22.700;23.500;23.650;22.700;10.49M;-2,78%
12/12/2023;23.350;23.450;23.800;23.300;6.62M;0,43%
12/11/2023;23.250;23.300;23.500;22.850;7.12M;-0,21%
12/08/2023;23.300;23.500;24.400;23.200;13.08M;0,00%
12/07/2023;23.300;23.900;23.950;22.600;15.72M;-1,69%
12/06/2023;23.700;23.500;23.800;23.150;12.30M;0,64%
12/05/2023;23.550;23.950;23.950;23.350;10.47M;-1,26%
12/04/2023;23.850;23.350;24.200;22.950;14.43M;4,15%
12/01/2023;22.900;23.250;23.250;22.200;15.84M;-0,43%
11/30/2023;23.000;22.950;23.450;22.700;12.68M;0,44%
11/29/2023;22.900;22.800;23.400;22.600;16.68M;0,44%
11/28/2023;22.800;21.850;22.800;21.650;17.32M;4,59%
11/27/2023;21.800;22.100;22.450;21.750;8.93M;-1,36%
11/24/2023;22.100;21.350;22.100;20.800;17.66M;4,49%
11/23/2023;21.150;22.900;23.000;21.150;17.64M;-6,83%
11/22/2023;22.700;22.200;22.700;21.950;11.80M;2,25%
11/21/2023;22.200;22.600;23.250;22.200;17.53M;0,00%
11/20/2023;22.200;21.350;22.300;21.350;13.30M;1,60%
11/17/2023;21.850;21.700;22.250;21.350;21.62M;1,16%
11/16/2023;21.600;21.300;21.600;21.100;9.15M;0,70%
11/15/2023;21.450;22.550;22.550;21.300;17.05M;-0,69%
11/14/2023;21.600;21.900;21.900;21.100;13.70M;0,47%
11/13/2023;21.500;20.600;21.750;20.500;19.79M;4,88%
11/10/2023;20.500;20.500;21.450;20.450;15.28M;-1,20%
11/09/2023;20.750;21.000;21.500;20.700;14.86M;0,48%
11/08/2023;20.650;19.300;20.650;19.250;15.43M;6,99%
11/07/2023;19.300;19.350;19.700;19.050;7.86M;-1,03%
11/06/2023;19.500;19.250;19.500;19.150;7.83M;1,30%
11/03/2023;19.250;19.100;19.450;18.750;9.84M;0,79%
11/02/2023;19.100;18.150;19.150;18.100;10.48M;6,70%
11/01/2023;17.900;17.600;17.900;17.250;5.63M;2,29%
10/31/2023;17.500;18.000;18.250;17.400;6.81M;-2,78%
