"Date","Price","Open","High","Low","Vol.","Change %"
"02/23/2024","21,582.1","22,020.5","22,264.1","21,582.1","12.86M","-1.77%"
"02/22/2024","21,971.8","22,117.9","22,215.4","21,971.8","9.09M","-0.66%"
"02/21/2024","22,117.9","22,459.0","22,507.7","22,020.5","14.28M","-1.52%"
"02/20/2024","22,459.0","22,702.6","22,751.3","22,410.3","8.64M","-1.07%"
"02/19/2024","22,702.6","22,751.3","23,043.6","22,312.8","15.25M","-0.21%"
"02/16/2024","22,751.3","22,800.0","22,897.4","22,605.1","7.21M","-0.21%"
"02/15/2024","22,800.0","22,848.7","23,287.2","22,702.6","11.81M","0.65%"
"02/07/2024","22,653.8","22,507.7","22,751.3","22,507.7","7.67M","0.65%"
"02/06/2024","22,507.7","22,556.4","22,800.0","22,507.7","7.14M","0.00%"
"02/05/2024","22,507.7","22,410.3","22,605.1","22,312.8","6.95M","0.87%"
"02/02/2024","22,312.8","22,312.8","22,702.6","22,215.4","10.09M","0.00%"
"02/01/2024","22,312.8","22,117.9","22,361.5","22,069.2","7.38M","0.00%"
"01/31/2024","22,312.8","22,361.5","22,556.4","22,020.5","13.00M","-1.08%"
"01/30/2024","22,556.4","22,264.1","22,556.4","22,020.5","9.39M","1.31%"
"01/29/2024","22,264.1","22,848.7","22,897.4","22,215.4","22.50M","-2.97%"
"01/26/2024","22,946.2","22,556.4","23,092.3","22,556.4","14.84M","1.95%"
"01/25/2024","22,507.7","22,312.8","22,702.6","22,069.2","12.70M","1.09%"
"01/24/2024","22,264.1","22,264.1","22,459.0","22,215.4","10.34M","0.00%"
"01/23/2024","22,264.1","22,507.7","22,605.1","22,215.4","6.17M","-0.87%"
"01/22/2024","22,459.0","22,020.5","22,702.6","21,971.8","25.15M","2.44%"
"01/19/2024","21,923.1","22,166.7","22,166.7","21,776.9","8.76M","-0.22%"
"01/18/2024","21,971.8","22,069.2","22,361.5","21,825.6","12.37M","-0.22%"
"01/17/2024","22,020.5","22,361.5","22,410.3","21,874.4","12.90M","-1.31%"
"01/16/2024","22,312.8","21,046.2","22,312.8","20,900.0","19.79M","6.02%"
"01/15/2024","21,046.2","21,289.7","21,435.9","21,046.2","5.88M","-0.46%"
"01/12/2024","21,143.6","21,241.0","21,533.3","20,948.7","12.53M","-1.81%"
"01/11/2024","21,533.3","21,241.0","21,582.1","21,241.0","10.39M","1.84%"
"01/10/2024","21,143.6","21,338.5","21,387.2","20,753.8","19.60M","-0.91%"
"01/09/2024","21,338.5","21,776.9","21,825.6","21,241.0","16.85M","-2.01%"
"01/08/2024","21,776.9","21,874.4","22,020.5","21,679.5","10.81M","0.00%"
"01/05/2024","21,776.9","21,874.4","21,971.8","21,582.1","9.18M","-0.45%"
"01/04/2024","21,874.4","22,069.2","22,264.1","21,874.4","12.78M","-0.88%"
"01/03/2024","22,069.2","21,533.3","22,069.2","21,484.6","7.15M","2.26%"
"01/02/2024","21,582.1","22,410.3","22,410.3","21,582.1","12.29M","-2.85%"
"12/29/2023","22,215.4","22,117.9","22,215.4","21,971.8","12.87M","0.44%"
"12/28/2023","22,117.9","21,874.4","22,215.4","21,825.6","11.73M","1.11%"
"12/27/2023","21,874.4","21,582.1","22,020.5","21,582.1","15.15M","1.58%"
"12/26/2023","21,533.3","21,387.2","21,679.5","21,289.7","7.15M","0.68%"
"12/25/2023","21,387.2","21,094.9","21,825.6","21,094.9","10.85M","1.62%"
"12/22/2023","21,046.2","21,192.3","21,338.5","20,851.3","5.30M","-0.69%"
"12/21/2023","21,192.3","20,753.8","21,338.5","20,705.1","9.07M","1.16%"
"12/20/2023","20,948.7","21,094.9","21,094.9","20,753.8","4.47M","0.00%"
"12/19/2023","20,948.7","20,315.4","20,948.7","20,266.7","8.09M","3.61%"
"12/18/2023","20,217.9","20,315.4","20,607.7","20,217.9","5.98M","-0.48%"
"12/15/2023","20,315.4","20,461.5","20,753.8","20,120.5","9.14M","-0.71%"
"12/14/2023","20,461.5","20,753.8","20,802.6","20,364.1","10.13M","-0.47%"
"12/13/2023","20,559.0","21,241.0","21,484.6","20,461.5","12.85M","-2.99%"
"12/12/2023","21,192.3","21,241.0","21,533.3","21,143.6","6.33M","0.23%"
"12/11/2023","21,143.6","21,533.3","21,630.8","21,046.2","8.58M","-1.81%"
"12/08/2023","21,533.3","21,825.6","22,556.4","21,435.9","17.01M","-1.56%"
"12/07/2023","21,874.4","22,166.7","22,215.4","20,948.7","22.30M","-1.10%"
"12/06/2023","22,117.9","21,825.6","22,215.4","21,533.3","10.34M","1.79%"
"12/05/2023","21,728.2","21,679.5","22,020.5","21,582.1","12.46M","0.22%"
"12/04/2023","21,679.5","21,630.8","22,215.4","21,435.9","20.80M","2.30%"
"12/01/2023","21,192.3","21,046.2","21,241.0","20,656.4","9.23M","1.40%"
"11/30/2023","20,900.0","21,192.3","21,435.9","20,851.3","10.59M","-1.38%"
"11/29/2023","21,192.3","20,753.8","21,241.0","20,607.7","11.68M","2.11%"
"11/28/2023","20,753.8","20,169.2","20,753.8","19,633.3","12.19M","3.15%"
"11/27/2023","20,120.5","20,461.5","20,607.7","20,023.1","7.22M","-1.43%"
"11/24/2023","20,412.8","20,266.7","20,412.8","19,389.7","17.24M","2.19%"
"11/23/2023","19,974.4","21,435.9","21,533.3","19,974.4","19.11M","-6.82%"
"11/22/2023","21,435.9","21,289.7","21,533.3","21,094.9","12.05M","0.46%"
"11/21/2023","21,338.5","21,435.9","22,069.2","21,241.0","15.00M","0.92%"
"11/20/2023","21,143.6","20,412.8","21,192.3","20,364.1","10.99M","1.17%"
"11/17/2023","20,900.0","21,143.6","21,435.9","20,461.5","19.11M","-0.69%"
"11/16/2023","21,046.2","20,851.3","21,046.2","20,510.3","8.56M","0.47%"
"11/15/2023","20,948.7","21,825.6","21,825.6","20,900.0","16.29M","-0.92%"
"11/14/2023","21,143.6","21,241.0","21,338.5","20,510.3","13.58M","0.93%"
"11/13/2023","20,948.7","20,120.5","21,338.5","20,120.5","20.39M","4.12%"
"11/10/2023","20,120.5","20,023.1","20,900.0","19,974.4","15.61M","-0.72%"
